zipcode,param,param_seasonal,aic
94102,"(2, 1, 0)","(2, 1, 0, 12)",4188.5179456603655
94103,"(2, 1, 0)","(2, 1, 0, 12)",4147.122112848128
94104,"(2, 1, 0)","(2, 1, 0, 12)",3077.917615597605
94105,"(2, 1, 0)","(2, 1, 0, 12)",4200.317363381282
94107,"(2, 1, 0)","(2, 1, 0, 12)",4121.47158537997
94108,"(2, 1, 0)","(2, 1, 0, 12)",4197.293676167639
94109,"(2, 1, 0)","(2, 1, 0, 12)",4124.395869392253
94110,"(2, 1, 0)","(2, 1, 0, 12)",4223.484332124084
94111,"(2, 1, 0)","(2, 1, 0, 12)",4304.357093962139
94112,"(2, 1, 0)","(2, 1, 0, 12)",4140.321302987348
94114,"(2, 1, 0)","(2, 1, 0, 12)",4265.450159708551
94115,"(2, 1, 0)","(2, 1, 0, 12)",4175.7632391974585
94116,"(2, 1, 0)","(2, 1, 0, 12)",4151.111305083603
94117,"(2, 1, 0)","(2, 1, 0, 12)",4174.052274833131
94118,"(2, 1, 0)","(2, 1, 0, 12)",4210.341256707896
94121,"(2, 1, 0)","(2, 1, 0, 12)",4226.824080051022
94122,"(2, 1, 0)","(2, 1, 0, 12)",4239.316663439822
94123,"(2, 1, 0)","(2, 1, 0, 12)",4184.688370823889
94124,"(2, 1, 0)","(2, 1, 0, 12)",4068.4124664317933
94127,"(2, 1, 0)","(2, 1, 0, 12)",4321.168809001073
94131,"(2, 1, 0)","(2, 1, 0, 12)",4183.903728856257
94132,"(2, 1, 0)","(2, 1, 0, 12)",4018.5785600389236
94133,"(2, 1, 0)","(2, 1, 0, 12)",4195.487195998351
94134,"(2, 1, 0)","(2, 1, 0, 12)",4095.279489392391
94158,"(2, 1, 0)","(2, 1, 0, 12)",1890.625649687693
